Open Date,Close Date,Week High,Week Low
2024.11.10,2024.11.17,MONDAY,THURSDAY
2024.11.03,2024.11.10,WEDNESDAY,WEDNESDAY
2024.10.27,2024.11.03,FRIDAY,TUESDAY
2024.10.20,2024.10.27,MONDAY,WEDNESDAY
2024.10.13,2024.10.20,MONDAY,THURSDAY
2024.10.06,2024.10.13,MONDAY,THURSDAY
2024.09.29,2024.10.06,MONDAY,FRIDAY
2024.09.22,2024.09.29,WEDNESDAY,MONDAY
2024.09.15,2024.09.22,WEDNESDAY,THURSDAY
2024.09.08,2024.09.15,MONDAY,WEDNESDAY
2024.09.01,2024.09.08,FRIDAY,TUESDAY
2024.08.25,2024.09.01,MONDAY,FRIDAY
2024.08.18,2024.08.25,FRIDAY,MONDAY
2024.08.11,2024.08.18,WEDNESDAY,MONDAY
2024.08.04,2024.08.11,MONDAY,MONDAY
2024.07.28,2024.08.04,FRIDAY,THURSDAY
2024.07.21,2024.07.28,MONDAY,WEDNESDAY
2024.07.14,2024.07.21,WEDNESDAY,MONDAY
2024.07.07,2024.07.14,FRIDAY,MONDAY
2024.06.30,2024.07.07,FRIDAY,MONDAY
2024.06.23,2024.06.30,MONDAY,WEDNESDAY
2024.06.16,2024.06.23,TUESDAY,MONDAY
2024.06.09,2024.06.16,MONDAY,FRIDAY
2024.06.02,2024.06.09,TUESDAY,FRIDAY
2024.05.26,2024.06.02,TUESDAY,THURSDAY
2024.05.19,2024.05.26,MONDAY,THURSDAY
2024.05.12,2024.05.19,THURSDAY,MONDAY
2024.05.05,2024.05.12,FRIDAY,FRIDAY
2024.04.28,2024.05.05,FRIDAY,WEDNESDAY
2024.04.21,2024.04.28,FRIDAY,MONDAY
2024.04.14,2024.04.21,MONDAY,TUESDAY
2024.04.07,2024.04.14,TUESDAY,FRIDAY
2024.03.31,2024.04.07,THURSDAY,TUESDAY
2024.03.24,2024.03.31,MONDAY,FRIDAY
2024.03.17,2024.03.24,THURSDAY,FRIDAY
2024.03.10,2024.03.17,MONDAY,FRIDAY
2024.03.03,2024.03.10,FRIDAY,MONDAY
2024.02.25,2024.03.03,TUESDAY,THURSDAY
2024.02.18,2024.02.25,THURSDAY,MONDAY
2024.02.11,2024.02.18,MONDAY,WEDNESDAY
2024.02.04,2024.02.11,MONDAY,TUESDAY
2024.01.28,2024.02.04,FRIDAY,THURSDAY
2024.01.21,2024.01.28,WEDNESDAY,FRIDAY
2024.01.14,2024.01.21,MONDAY,WEDNESDAY
2024.01.07,2024.01.14,THURSDAY,MONDAY
2023.12.31,2024.01.07,MONDAY,FRIDAY
2023.12.24,2023.12.31,THURSDAY,MONDAY
2023.12.17,2023.12.24,FRIDAY,MONDAY
2023.12.10,2023.12.17,THURSDAY,MONDAY
2023.12.03,2023.12.10,MONDAY,FRIDAY
2023.11.26,2023.12.03,WEDNESDAY,FRIDAY
2023.11.19,2023.11.26,TUESDAY,MONDAY
